source_table,source_column,target_table,target_column,relationship_type
general_information,report_number,critical_minerals_project_info,report_number,HAS_CRITICAL_MINERALS_PROJECT_INFO
general_information,report_number,critical_minerals_extracted_sc,report_number,HAS_CRITICAL_MINERALS_EXTRACTED_SC
general_information,report_number,critical_minerals_metallurgy_sc,report_number,HAS_CRITICAL_MINERALS_METALLURGY_SC
general_information,report_number,critical_minerals_market_risk,report_number,HAS_CRITICAL_MINERALS_MARKET_RISK
general_information,report_number,cost_table,report_number,HAS_COST_TABLE
general_information,report_number,financial_table,report_number,HAS_FINANCIAL_TABLE
general_information,report_number,financial_metrics_table,report_number,HAS_FINANCIAL_METRICS_TABLE
general_information,report_number,conversion_rates_table,report_number,HAS_CONVERSION_RATES_TABLE
general_information,report_number,metal_price_table,report_number,HAS_METAL_PRICE_TABLE
general_information,report_number,layout_summary,report_number,HAS_LAYOUT_SUMMARY
general_information,report_number,exploration_target_evolution,report_number,HAS_EXPLORATION_TARGET_EVOLUTION
general_information,report_number,layout_facilities,report_number,HAS_LAYOUT_FACILITIES
general_information,report_number,infrastructure_distances,report_number,HAS_INFRASTRUCTURE_DISTANCES
general_information,report_number,building_list,report_number,HAS_BUILDING_LIST
general_information,report_number,process_parameters,report_number,HAS_PROCESS_PARAMETERS
general_information,report_number,process_equipment,report_number,HAS_PROCESS_EQUIPMENT
general_information,report_number,process_recovery,report_number,HAS_PROCESS_RECOVERY
general_information,report_number,mining_rates,report_number,HAS_MINING_RATES
general_information,report_number,mining_general,report_number,HAS_MINING_GENERAL
general_information,report_number,mining_equipment,report_number,HAS_MINING_EQUIPMENT
general_information,report_number,cost_drivers,report_number,HAS_COST_DRIVERS
general_information,report_number,lithology_alteration_summary,report_number,HAS_LITHOLOGY_ALTERATION_SUMMARY
general_information,report_number,schedule,report_number,HAS_SCHEDULE
general_information,report_number,long_lead,report_number,HAS_LONG_LEAD
general_information,report_number,environmental,report_number,HAS_ENVIRONMENTAL
general_information,report_number,risks,report_number,HAS_RISKS
general_information,report_number,significant_intercepts,report_number,HAS_SIGNIFICANT_INTERCEPTS
general_information,report_number,drill_programs,report_number,HAS_DRILL_PROGRAMS
critical_minerals_project_info,report_number,general_information,report_number,LINKS_TO_GENERAL_INFORMATION
drill_programs,notable_intercepts_reported,general_information,report_number,LINKS_TO_GENERAL_INFORMATION
relationships,relationship_type,general_information,report_number,LINKS_TO_GENERAL_INFORMATION
qps_table,company,general_information,report_number,LINKS_TO_GENERAL_INFORMATION
resource_table,unit,general_information,report_number,LINKS_TO_GENERAL_INFORMATION
