column_name,table_name,alias_type
company_name,general_information,COMPANY_极ALIAS
company,qps_table,COMPANY_ALIAS
project_name,general_information,PROJECT_ALIAS
project_name,critical_minerals_project_info,PROJECT_ALIAS
project_study_phase,general_information,PROJECT_ALIAS
commodity,general_information,COMMODITY_ALIAS
commodity,significant_intercepts,COMMODITY_ALIAS
commodity,resource_table,COMMODITY_ALIAS
commodity_focus,critical_minerals_project_info,COMMODITY_ALIAS
metal_mineral,metal_price_table,COMMODITY_ALIAS
mineral,lithology_alteration_summary,MINERAL_ALIAS
mineral_name,critical_minerals_extracted_sc,MINERAL_ALIAS
mineral_associations,lithology_alteration_summary,MINERAL_ALIAS
mineralization_type,significant_intercepts,MINERAL_ALIAS
country,general_information,COUNTRY_ALIAS
region,general_information,REGION_ALIAS
province,general_information,PROVINCE_ALIAS
state,general_information,STATE_ALIAS
location,general_information,LOCATION_ALIAS
location_coordinates,general_information,LOCATION_ALIAS
location_or_section,process_equipment,LOCATION_ALIAS
location,mining_equipment,LOCATION_ALIAS
S3 location of PDF,general_information,LOCATION_ALIAS
target_name,exploration_target_evolution,TARGET_ALIAS
target_type,exploration_target_evolution,TARGET_ALIAS
area_targeted,drill_programs,TARGET_ALIAS
target_report,relationships,TARGET_ALIAS
deposit,resource_table,DEPOSIT_ALIAS
deposit_type,critical_minerals_project_info,DEPOSIT_ALIAS
deposit_model,lithology_alteration_summary,DEPOSIT_ALIAS
tailings_deposition_method,process_parameters极,DEPOSIT_ALIAS
mine_name,mining_general,MINE_ALIAS
mine_description,mining_general,MINE_ALIAS
underground_mine_depth_m,mining_general,MINE_ALIAS
number_of_underground_mines,layout_summary,MINE_ALIAS
opex_usd_per_tonne_mined,cost_table,MINE_ALIAS
opex_usd_per_tonne_mined_unit,cost_table,MINE_ALIAS
